,案號,法官
1,"CHDM,104,交簡,2448,20160104,1","

黃玉齡"
2,"CHDM,104,交簡,2461,20160105,1","

黃玉齡"
3,"CHDM,104,交簡,2479,20160115,1","

黃玉齡"
4,"CHDM,104,交簡,2495,20160125,1","

張琇涵"
5,"CHDM,104,交簡,2659,20160111,1","

陳佳妤"
6,"CHDM,104,交簡,2708,20160111,1","

陳佳妤"
7,"CHDM,104,交簡,2818,20160107,1","

都韻荃"
8,"CHDM,104,審交簡,171,20160127,1","

周淡怡"
9,"CHDM,104,審交簡,188,20160106,1","

陳德池"
10,"CHDM,105,交簡,126,20160130,1","

陳佳妤"
11,"CHDM,105,交簡,151,20160128,1","

陳德池"
12,"CHDM,105,交簡,156,20160130,1","

林于捷"
13,"CHDM,105,交簡,43,20160127,1","

周淡怡"
14,"CHDM,105,交簡,57,20160113,1","

曹馨方"
15,"CHDM,105,交簡,6,20160114,1","

張佳燉"
16,"CHDM,105,審交簡,4,20160126,1","

呂美玲"
17,"CPEM,104,竹北交簡,1128,20160127,1","

傅曉瑄"
18,"CPEM,104,竹北交簡,1134,20160107,1","

傅曉瑄"
19,"CPEM,104,竹北交簡,1137,20160106,1","

傅曉瑄"
20,"CPEM,104,竹北交簡,1146,20160114,1","

傅曉瑄"
21,"CPEM,104,竹北交簡,1150,20160127,1","

傅曉瑄"
22,"CPEM,104,竹北交簡,1153,20160127,1","

傅曉瑄"
23,"CPEM,104,竹北交簡,1155,20160127,1","

傅曉瑄"
24,"CPEM,104,竹北交簡,1157,20160127,1","

傅曉瑄"
25,"CPEM,104,竹東交簡,1022,20160106,1","

傅曉瑄"
26,"CPEM,104,竹東交簡,1036,20160106,1","

傅曉瑄"
27,"CPEM,104,竹東交簡,1038,20160108,1","

傅曉瑄"
28,"CPEM,104,竹東交簡,1043,20160127,1","

傅曉瑄"
29,"CPEM,105,竹北交簡,2,20160127,1","

傅曉瑄"
30,"CPEM,105,竹北交簡,30,20160127,1","

傅曉瑄"
31,"CPEM,105,竹北交簡,32,20160127,1","

傅曉瑄"
32,"CPEM,105,竹北交簡,33,20160127,1","

傅曉瑄"
33,"CPEM,105,竹北交簡,5,20160127,1","

傅曉瑄"
34,"CPEM,105,竹北交簡,6,20160127,1","

傅曉瑄"
35,"CPEM,105,竹北交簡,7,20160127,1","

傅曉瑄"
36,"CPEM,105,竹東交簡,12,20160127,1","

傅曉瑄"
37,"CPEM,105,竹東交簡,13,20160127,1","

傅曉瑄"
38,"CPEM,105,竹東交簡,8,20160127,1","

傅曉瑄"
39,"CYDM,105,嘉交簡,11,20160106,1","

張道周"
40,"CYDM,105,嘉交簡,110,20160130,1","

楊鑫忠"
